                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
81,                0.92329,                0.51271,1089,                0.84272,                0.85828,                0.86507,                0.51951,                 1.5219,                0.67697,1619,                0.00736,                0.00736,                0.00736
82,                0.91705,                0.50964,                 1.0879,                 0.8389,                0.85847,                0.86397,                 0.5194,                 1.5235,                0.67624,                 1.6216,               0.007327,               0.007327,               0.007327
83,                0.91629,                0.50969,                 1.0804,                0.83883,                0.85696,                0.86099,                0.51771,                 1.5236,                0.67707,                 1.6245,               0.007294,               0.007294,               0.007294
84,                0.90979,                0.50691,                 1.0788,                0.83966,                0.85452,                 0.8595,                 0.5171,                 1.5237,                0.67752,                 1.6262,               0.007261,               0.007261,               0.007261
85,                0.90325,                0.50324,                 1.0806,                0.83424,                0.85753,                0.85898,                0.51743,                 1.5244,                0.67946,1629,               0.007228,               0.007228,               0.007228
86,                0.89695,                0.50107,                 1.0722,                0.83549,                0.85495,                 0.8599,                0.51729,                 1.5241,                0.67941,                 1.6286,               0.007195,               0.007195,               0.007195
87,                0.88945,                0.49972,1075,                0.83516,                0.85462,                0.85999,                0.51767,                 1.5234,                0.67862,                 1.6301,               0.007162,               0.007162,               0.007162
88,                0.89189,                0.49865,                 1.0713,                0.83333,                0.85494,                0.85954,                0.51844,                 1.5226,                0.67842,                 1.6321,               0.007129,               0.007129,               0.007129
89,                0.88159,                0.49194,1069,                0.83614,                0.85252,                0.86034,                0.51792,                 1.5238,                0.67908,                 1.6345,               0.007096,               0.007096,               0.007096
90,                0.88479,                0.49497,                 1.0697,                0.83849,                0.84689,                0.85754,                0.51802,                 1.5237,                0.67856,                 1.6359,               0.007063,               0.007063,               0.007063
91,                0.87351,                0.48628,                 1.0635,                0.83729,                0.84654,                0.85691,                 0.5181,                 1.5245,                0.67844,                 1.6388,                0.00703,                0.00703,                0.00703
92,                0.87534,                0.48879,                 1.0655,                   0.86,                0.82964,                0.86029,                0.51759,                 1.5251,                0.67926,                 1.6401,               0.006997,               0.006997,               0.006997
93,                0.86948,                0.48843,                 1.0605,                0.85631,                0.83049,                0.85929,                0.51735,                 1.5258,                0.68029,1642,               0.006964,               0.006964,               0.006964
94,                0.86405,                0.48403,                 1.0576,                0.85699,                0.83036,                0.86091,                0.51743,                 1.5261,                 0.6811,                 1.6432,               0.006931,               0.006931,               0.006931
95,                0.86411,                0.48587,                 1.0636,                0.83288,                0.85218,                0.86109,                0.51861,1526,                0.68146,1644,               0.006898,               0.006898,               0.006898
96,                0.85264,                0.48044,                 1.0579,                0.83199,                0.85371,                 0.8607,                0.51798,                 1.5264,                0.68166,                 1.6448,               0.006865,               0.006865,               0.006865
97,                0.84823,                0.47853,                 1.0565,                0.83072,                0.85346,                0.86089,                 0.5182,                 1.5265,                0.68152,                 1.6456,               0.006832,               0.006832,               0.006832
98,                0.85525,                0.48025,                 1.0517,                 0.8294,                0.85422,                0.86137,                0.51884,                 1.5253,                 0.6812,                 1.6458,               0.006799,               0.006799,               0.006799
99,                0.84823,                0.47565,1053,                0.82474,                0.85763,                0.86177,                 0.5194,                 1.5256,                0.68143,                 1.6465,               0.006766,               0.006766,               0.006766
100,                0.84074,                0.47332,                 1.0487,                0.82256,                0.85947,                0.86126,                0.51835,                 1.5247,                0.68172,                 1.6476,               0.006733,               0.006733,               0.006733
101,                0.83198,                0.47089,                 1.0487,                0.84783,                0.83319,                 0.8607,                0.51844,                 1.5234,                0.68237,                 1.6478,                 0.0067,                 0.0067,                 0.0067
102,                0.83451,                0.47104,                 1.0479,                0.85301,                0.83204,                0.86097,                0.51914,                 1.5235,                0.68259,                 1.6488,               0.006667,               0.006667,               0.006667
103,                0.82853,                0.46787,                 1.0449,                0.85409,                0.83157,                0.86074,                0.51917,                 1.5239,                 0.6826,                 1.6507,               0.006634,               0.006634,               0.006634
104,                0.82528,                0.46547,                 1.0443,                 0.8538,                0.83235,                0.86128,                0.51869,                 1.5246,                0.68348,                 1.6514,               0.006601,               0.006601,               0.006601
105,                0.82425,                 0.4637,                 1.0442,                0.85254,                0.83192,                0.86101,                0.51888,                 1.5243,                0.68323,                 1.6513,               0.006568,               0.006568,               0.006568
106,                0.82159,                0.46358,                 1.0405,                0.85455,                0.83064,                0.86171,                0.52001,                 1.5249,                 0.6828,                 1.6521,               0.006535,               0.006535,               0.006535
107,                0.82144,                0.46382,1039,                0.85537,                0.83072,                0.86219,                0.51833,                 1.5247,                0.68306,                 1.6527,               0.006502,               0.006502,               0.006502
108,                0.81091,                0.45813,                 1.0419,                0.85611,                0.82939,                0.86199,                0.51841,                 1.5247,                0.68344,                 1.6535,               0.006469,               0.006469,               0.006469
109,                0.81038,                0.45812,                 1.0369,                0.84118,                0.84355,                 0.8619,                0.51846,                 1.5245,                 0.6847,                 1.6541,               0.006436,               0.006436,               0.006436
110,                0.80703,                0.45824,                 1.0347,                 0.8384,                 0.8444,                0.86194,                0.51934,                 1.5251,                0.68399,                 1.6551,               0.006403,               0.006403,               0.006403
111,                0.80406,                0.45824,                 1.0356,                0.85902,                0.82981,                0.86292,                0.51872,                 1.5256,                0.68416,                 1.6556,                0.00637,                0.00637,                0.00637
112,                0.80295,                0.45497,                 1.0301,                0.85806,                0.83009,                0.86286,                0.51823,                 1.5255,                0.68367,                 1.6564,               0.006337,               0.006337,               0.006337
113,                0.80142,                0.45331,                 1.0326,                0.84481,                0.84173,                0.86326,                0.51831,                 1.5256,                0.68362,                 1.6569,               0.006304,               0.006304,               0.006304
114,                0.79547,                0.45208,                 1.0306,                0.85873,                0.82995,                0.86295,                0.51884,                 1.5256,                0.68277,                 1.6569,               0.006271,               0.006271,               0.006271
115,                0.79054,                0.44923,1028,                 0.8606,                0.82938,                0.86296,                0.51967,1526,                0.68325,                 1.6576,               0.006238,               0.006238,               0.006238
116,                0.78881,                0.44709,                 1.0307,                0.85826,                0.82995,                0.86327,                0.51985,                 1.5258,                0.68383,                 1.6579,               0.006205,               0.006205,               0.006205
117,                0.78624,                0.44838,                 1.0274,                0.85723,                0.83119,                0.86372,                0.51966,                 1.5256,                0.68436,                 1.6581,               0.006172,               0.006172,               0.006172
118,                0.78349,                0.44434,1025,                0.85494,                0.83264,                0.86399,                0.52041,                 1.5257,                 0.6851,1658,               0.006139,               0.006139,               0.006139
119,                 0.7814,                0.44336,                 1.0247,                0.84804,                0.83655,                0.86315,                0.52062,                 1.5257,                0.68513,                 1.6587,               0.006106,               0.006106,               0.006106
120,                0.77934,                0.44338,                 1.0229,                0.84914,                0.83519,                0.86322,                0.52115,                 1.5256,                0.68492,                 1.6585,               0.006073,               0.006073,               0.006073
121,773,                 0.4393,                 1.0232,                0.85144,                0.83425,                0.86347,                0.52136,                 1.5258,                0.68456,                 1.6594,                0.00604,                0.00604,                0.00604
122,                0.77485,                0.44009,                 1.0183,                0.86277,                0.82457,                0.86268,                0.52095,                 1.5259,                0.68441,                 1.6598,               0.006007,               0.006007,               0.006007
123,                0.77085,                0.43849,                   1.02,                0.86546,                0.82541,                0.86409,                0.52032,                 1.5267,                0.68371,                 1.6607,               0.005974,               0.005974,               0.005974
124,                0.76474,                0.43655,                 1.0172,                0.85972,                 0.8302,                 0.8644,                0.52053,                 1.5261,                0.68382,                 1.6614,               0.005941,               0.005941,               0.005941
125,                 0.7654,                0.43786,                 1.0156,                0.85849,                0.83104,                0.86402,                0.52037,                 1.5267,                 0.6848,                 1.6621,               0.005908,               0.005908,               0.005908
126,                0.75731,                0.43298,                 1.0158,                0.86126,                0.82928,                0.86375,                0.52017,                 1.5268,                0.68407,                 1.6624,               0.005875,               0.005875,               0.005875
127,                0.75587,                 0.4327,                 1.0165,                0.85754,                0.83058,                0.86339,                0.51982,                 1.5271,                0.68491,                 1.6629,               0.005842,               0.005842,               0.005842
128,                0.75204,                0.43076,1013,                0.86154,                0.82909,                0.86335,                0.51994,                 1.5266,                0.68434,                 1.6631,               0.005809,               0.005809,               0.005809
129,                0.74709,                0.43072,1018,                0.86203,                0.82763,                0.86295,                0.51992,                 1.5275,                0.68547,1664,               0.005776,               0.005776,               0.005776
130,                0.74958,                0.42836,                 1.0139,                0.86157,                0.82786,                0.86282,                0.51996,                 1.5275,                0.68534,                 1.6646,               0.005743,               0.005743,               0.005743
131,                0.74801,                0.42771,                 1.0126,                0.86517,                0.82661,                 0.8631,                0.51983,                 1.5275,                0.68537,                 1.6654,                0.00571,                0.00571,                0.00571
132,                0.74511,                0.42754,                 1.0116,                0.86392,                0.82668,                0.86301,                0.51972,                 1.5283,                0.68688,                 1.6667,               0.005677,               0.005677,               0.005677
133,                0.74339,                0.42726,                 1.0129,                0.86426,                0.82682,                0.86324,                0.52001,                 1.5277,                0.68542,                 1.6673,               0.005644,               0.005644,               0.005644
134,                0.73973,                0.42426,                 1.0087,                0.86336,                0.82712,                0.86258,                0.51976,                 1.5279,                0.68428,                 1.6682,               0.005611,               0.005611,               0.005611
135,                0.74032,                 0.4258,                 1.0081,                 0.8667,                0.82583,                 0.8629,                0.51955,                 1.5274,                0.68457,                 1.6685,               0.005578,               0.005578,               0.005578
136,                0.73559,                0.42332,                 1.0038,                0.86725,                0.82611,                0.86289,                0.51977,                 1.5285,                0.68509,                 1.6695,               0.005545,               0.005545,               0.005545
137,                0.73505,                0.42251,                 1.0056,                0.86745,                 0.8264,                0.86343,                0.51959,                 1.5286,                0.68594,                 1.6701,               0.005512,               0.005512,               0.005512
138,                0.73097,                0.41968,                 1.0022,                 0.8672,                0.82625,                0.86329,                0.52014,                 1.5291,                0.68615,                 1.6709,               0.005479,               0.005479,               0.005479
139,                0.72076,                0.41557,                 1.0029,                0.86861,                0.82625,                0.86381,                0.52078,                 1.5281,                0.68664,                 1.6714,               0.005446,               0.005446,               0.005446
140,                0.72694,                 0.4192,                 1.0054,                0.86811,                0.82597,                0.86379,                0.52033,                 1.5289,                0.68723,                 1.6718,               0.005413,               0.005413,               0.005413
141,                0.72211,                0.41627,                 1.0018,                0.86774,                0.82584,                0.86337,                0.51998,                 1.5291,                0.68716,                 1.6726,                0.00538,                0.00538,                0.00538
142,                0.71981,                0.41461,                 0.9994,                0.86823,                0.82577,                0.86296,                0.51993,                 1.5293,                0.68767,1673,               0.005347,               0.005347,               0.005347
143,                 0.7169,                0.41505,                 1.0012,                0.86632,                0.82658,                0.86296,                0.51997,                 1.5297,                0.68766,1674,               0.005314,               0.005314,               0.005314
144,                0.71628,                0.41477,                 1.0009,                0.86456,                0.82721,                0.86276,                0.52018,                 1.5293,                0.68709,                 1.6744,               0.005281,               0.005281,               0.005281
145,                0.71116,                0.41231,                0.99902,                0.86433,                 0.8271,                0.86272,                0.52001,                 1.5291,                0.68663,                 1.6743,               0.005248,               0.005248,               0.005248
146,                 0.7085,                0.40951,                0.99561,                0.86481,                0.82679,                0.86317,                0.52014,                 1.5286,                0.68689,                 1.6751,               0.005215,               0.005215,               0.005215
147,                0.70826,                 0.4099,                0.99891,                0.86512,                0.82688,                0.86287,                0.52059,                 1.5288,                0.68813,                 1.6757,               0.005182,               0.005182,               0.005182
148,                0.71334,                0.41169,                0.99468,                0.86605,                0.82462,                0.86221,                0.52059,                 1.5285,                0.68806,1676,               0.005149,               0.005149,               0.005149
149,                0.70443,                0.40803,                0.99456,                 0.8643,                0.82779,                0.86293,                 0.5208,                 1.5278,                0.68719,                 1.6761,               0.005116,               0.005116,               0.005116
150,                0.69955,                0.40484,                 0.9945,                0.86947,                0.82342,                0.86232,                0.52058,1528,                0.68778,                 1.6772,               0.005083,               0.005083,               0.005083
151,                0.69838,                0.40681,                0.99409,                0.87079,                0.82383,                0.86282,                0.52101,                 1.5276,                0.68737,                 1.6779,                0.00505,                0.00505,                0.00505
152,                0.69927,                0.40438,                0.99112,                0.87114,                0.82386,                0.86287,                0.52022,                 1.5276,                 0.6887,                 1.6784,               0.005017,               0.005017,               0.005017
153,                0.69406,                0.40289,                0.99282,                0.87134,                0.82318,                0.86287,                0.52037,                 1.5279,                0.68884,                 1.6788,               0.004984,               0.004984,               0.004984
154,                0.69119,                0.40082,                0.99159,                0.87165,                0.82271,                0.86314,                0.52022,                 1.5282,                0.68991,                 1.6797,               0.004951,               0.004951,               0.004951
155,                0.69195,                0.40182,                0.99004,                0.87089,                0.82345,                0.86358,                0.51991,                 1.5285,                0.68986,                 1.6808,               0.004918,               0.004918,               0.004918
156,                0.69188,                0.40099,                0.98691,                   0.87,                0.82379,                 0.8623,                0.51992,                 1.5295,                0.68985,                 1.6818,               0.004885,               0.004885,               0.004885
157,                0.68315,                0.39841,                 0.9878,                0.86903,                0.82441,                0.86215,                0.52026,                 1.5303,                 0.6911,                 1.6826,               0.004852,               0.004852,               0.004852
158,                0.68435,                0.39897,                0.98927,                0.86359,                0.82974,                0.86321,                 0.5206,                   1.53,                0.69167,                 1.6832,               0.004819,               0.004819,               0.004819
159,                0.68495,                0.39879,                0.98808,                0.86372,                0.82924,                0.86323,                0.52021,                 1.5304,                0.69326,                 1.6842,               0.004786,               0.004786,               0.004786
160,                0.68275,                0.39921,                0.98744,                0.86382,                0.82904,                 0.8634,                0.52033,                 1.5301,                0.69338,                 1.6846,               0.004753,               0.004753,               0.004753
161,                0.67786,                0.39457,                0.98439,                 0.8693,                0.82673,                0.86301,                0.52053,                 1.5299,                0.69355,                 1.6844,                0.00472,                0.00472,                0.00472
162,                0.67688,                 0.3949,                0.98392,                 0.8698,                0.82697,                0.86322,                0.52066,                 1.5299,                0.69395,                 1.6853,               0.004687,               0.004687,               0.004687
